Title,Release_Date,Expired_Date,Activity_Code,Parent_Organization,Organization,Participating_Orgs,Document_Number,Document_Type,Clinical_Trials,URL
"Secondary Analysis and Integration of Existing Data to Elucidate Cancer Risk and Related Outcomes (R01 Clinical Trial Not Allowed)","11/18/2024","9/8/2026","R01","NIH","NCI","NHGRI, NIA, NIDCR","PAR-25-095","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-095.html"
"Secondary Analysis and Integration of Existing Data to Elucidate Cancer Risk and Related Outcomes (R21 Clinical Trials Not Allowed)","11/18/2024","9/8/2026","R21","NIH","NCI","NHGRI, NIA, NIDCR","PAR-25-096","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-096.html"
"Mechanisms that Impact Cancer Risk with Use of Incretin Mimetics (R21 Clinical Trial Not Allowed)","11/18/2024","1/8/2027","R21","NIH","NCI","None","PAR-25-070","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-070.html"
"Mechanisms that Impact Cancer Risk with Use of Incretin Mimetics (R01 Clinical Trial Optional)","11/18/2024","1/8/2027","R01","NIH","NCI","None","PAR-25-069","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-069.html"
"NIDCR Small Grant Program for New Investigators (R03 Clinical Trial Not Allowed)","11/18/2024","1/8/2028","R03","NIH","NIDCR","None","PAR-25-105","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-105.html"
"Novel Mechanism Research on Neuropsychiatric Symptoms (NPS) in Alzheimer's Dementia (R21 Clinical Trial Optional)","11/18/2024","9/8/2026","R21","NIH","NIMH","NIA","PAR-25-064","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-064.html"
"Novel Mechanism Research on Neuropsychiatric Symptoms (NPS) in Alzheimer's Dementia (R01 Clinical Trial Optional)","11/18/2024","9/8/2026","R01","NIH","NIMH","NIA","PAR-25-065","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-065.html"
"Social disconnection and Suicide Risk in Late Life (R21 Clinical Trial Optional)","11/18/2024","9/8/2026","R21","NIH","NIMH","None","PAR-25-066","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-066.html"
"Social disconnection and Suicide Risk in Late Life (R01 Clinical Trial Optional)","11/18/2024","9/8/2026","R01","NIH","NIMH","None","PAR-25-067","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-067.html"
"Contraceptive Development Research Centers (P50 Clinical Trial Optional)","11/18/2024","11/13/2025","P50","NIH","NICHD","None","RFA-HD-26-004","RFA","Optional","https://grants.nih.gov/grants/guide/rfa-files/RFA-HD-26-004.html"
"Investigator Initiated Innovation in Computational Genomics and Data Science (R21 Clinical Trial Not Allowed)","11/18/2024","9/8/2027","R21","NIH","NHGRI","NLM","PAR-25-229","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-229.html"
"Investigator Initiated Innovation in Computational Genomics and Data Science (R01 Clinical Trial Not Allowed)","11/18/2024","9/8/2027","R01","NIH","NHGRI","NLM","PAR-25-228","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-228.html"
"Basic Research in Cancer Health Disparities (R21 Clinical Trial Not Allowed)","11/18/2024","11/17/2027","R21","NIH","NCI","None","PAR-25-244","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-244.html"
"Basic Research in Cancer Health Disparities (R01 Clinical Trial Not Allowed)","11/18/2024","1/8/2028","R01","NIH","NCI","None","PAR-25-243","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-243.html"
"NHLBI SBIR Phase IIB Bridge Awards to Accelerate the Commercialization of Technologies for Heart, Lung, Blood, and Sleep Disorders and Diseases (R44 Clinical Trial Optional)","11/18/2024","2/27/2027","R44","NIH","NHLBI","None","RFA-HL-26-014","RFA","Optional","https://grants.nih.gov/grants/guide/rfa-files/RFA-HL-26-014.html"
"NHLBI SBIR Phase IIB Small Market Awards to Accelerate the Commercialization of Technologies for Heart, Lung, Blood, and Sleep Disorders and Diseases (R44 Clinical Trial Optional)","11/18/2024","2/27/2027","R44","NIH","NHLBI","NCATS","RFA-HL-26-015","RFA","Optional","https://grants.nih.gov/grants/guide/rfa-files/RFA-HL-26-015.html"
"Advancement and Innovation in Measurement of Language Development and Predictors (R21 Clinical Trial Not Allowed)","11/18/2024","9/8/2027","R21","NIH","NICHD","NIDCD","PAR-25-113","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-113.html"
"Advancement and Innovation in Measurement of Language Development and Predictors (R01 Clinical Trial Not Allowed)","11/18/2024","9/8/2027","R01","NIH","NICHD","NIDCD","PAR-25-112","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-112.html"
"Translational Research in Maternal and Pediatric Pharmacology and Therapeutics (R21 Clinical Trial Optional)","11/18/2024","5/8/2026","R21","NIH","NICHD","NIAID, NIDA, ORWH","PAR-25-111","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-111.html"
"Translational Research in Maternal and Pediatric Pharmacology and Therapeutics (R01 Clinical Trial Optional)","11/18/2024","5/8/2026","R01","NIH","NICHD","NIAID, NIDA, NIMH, ORWH","PAR-25-110","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-110.html"
"Schizophrenia and related disorders during mid- to late-life (R21 Clinical Trial Optional)","11/18/2024","9/8/2026","R21","NIH","NIMH","None","PAR-25-040","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-040.html"
"Cellular and Molecular Biology of Complex Brain Disorders (R01 Clinical Trial Not Allowed)","11/18/2024","9/8/2026","R01","NIH","NIMH","None","PAR-25-038","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-038.html"
"Schizophrenia and related disorders during mid- to late-life (R01 Clinical Trial Optional)","11/18/2024","9/8/2026","R01","NIH","NIMH","None","PAR-25-039","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-039.html"
"Cellular and Molecular Biology of Complex Brain Disorders (R21 Clinical Trial Not Allowed)","11/18/2024","9/8/2026","R21","NIH","NIMH","None","PAR-25-037","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-037.html"
"Archiving and Documenting Child Health and Human Development Data Sets (R03 Clinical Trial Not Allowed)","11/18/2024","11/17/2025","R03","NIH","NICHD","None","PAR-25-092","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-092.html"
"Small Research Grants for Analyses of Gabriella Miller Kids First Pediatric Research Data (R03 Clinical Trial Not Allowed)","11/18/2024","11/17/2025","R03","NIH","NICHD","NCI, NIDCR","PAR-25-109","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-109.html"
"Small Research Grant Program for the Next Generation of Researchers in AD/ADRD Research (R03 Clinical Trial Optional)","11/18/2024","3/17/2026","R03","NIH","NIA","None","PA-25-246","PA","Optional","https://grants.nih.gov/grants/guide/pa-files/PA-25-246.html"
"Enhancing Reuse of NHGRI Data Assets (R03 Clinical Trial Not Allowed)","11/18/2024","2/16/2026","R03","NIH","NHGRI","None","RFA-HG-25-005","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-HG-25-005.html"
"NIDA Research Education Program for Clinical Researchers and Clinicians (R25 Clinical Trial Not Allowed)","11/18/2024","11/13/2027","R25","NIH","NIDA","None","PAR-25-204","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-204.html"
"Pragmatic Trials across the Cancer Control Continuum (UG3/UH3 Clinical Trial Required)","11/18/2024","11/18/2025","UG3/UH3","NIH","NCI","None","PAR-25-072","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-072.html"
"NICHD Small Research Grant Program (R03 Clinical Trial Required)","11/18/2024","1/8/2028","R03","NIH","NICHD","None","PA-25-125","PA","Required","https://grants.nih.gov/grants/guide/pa-files/PA-25-125.html"
"NICHD Small Research Grant Program (R03 Basic Experimental Studies with Humans Required)","11/18/2024","1/8/2028","R03","NIH","NICHD","None","PA-25-126","PA","Basic_Trial","https://grants.nih.gov/grants/guide/pa-files/PA-25-126.html"
"Ruth L. Kirschstein National Research Service Award (NRSA) Institutional Research Training Grant (Parent T32)","11/15/2024","5/5/2028","T32","NIH","NIH","NHLBI, NIA, NIAAA, NIAID, NIAMS, NIBIB, NICHD, NIDA, NIDCD, NIDCR, NIDDK, NIEHS, NIGMS, NIMH, NINDS, NINR, ORIP, ORWH, NBNR, NCCIH, NCI, NEI, NHGRI","PA-25-168","PA","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PA-25-168.html"
"Development of Animal Models and Related Biological Materials for Research (R21 Clinical Trial Not Allowed)","11/15/2024","1/8/2028","R21","NIH","ORIP","None","PAR-25-273","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-273.html"
"BRAIN Initiative: Development and Validation of Novel Tools to Probe Cell-Specific and Circuit-Specific Processes in the Brain (R01 Clinical Trial Not Allowed)","11/15/2024","2/9/2027","R01","NIH","NIMH","NCCIH, NEI, NIA, NIAAA, NIBIB, NICHD, NIDA, NIDCD, NINDS","RFA-MH-26-170","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-MH-26-170.html"
"Developing novel theory and methods for understanding the genetic architecture of complex human traits (R21 Clinical Trial Not Allowed)","11/15/2024","1/8/2027","R21","NIH","NHGRI","NCI","PAR-25-256","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-256.html"
"Developing novel theory and methods for understanding the genetic architecture of complex human traits (R01 Clinical Trial Not Allowed)","11/15/2024","11/6/2026","R01","NIH","NHGRI","NCI, NIMH","PAR-25-255","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-255.html"
"Early Stage Investigator HIV/AIDS Research Using Nonhuman Primate (NHP) Models (R21 Clinical Trial Not Allowed)","11/15/2024","9/8/2025","R21","NIH","ORIP","NIMH","PAR-25-165","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-165.html"
"Environmental Health Sciences Core Centers Program (P30 Clinical Trials Optional)","11/14/2024","1/30/2027","P30","NIH","NIEHS","None","RFA-ES-25-002","RFA","Optional","https://grants.nih.gov/grants/guide/rfa-files/RFA-ES-25-002.html"
"Analytical and Clinical Validation of Biomarkers for Alzheimers Disease (AD) and AD-Related Dementias (ADRD) (U01 Clinical Trial Optional)","11/14/2024","3/6/2026","U01","NIH","NIA","None","PAR-25-209","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-209.html"
"Technology Development Research for Establishing Feasibility and Proof of Concept (R21 - Clinical Trial Not Allowed)","11/14/2024","1/8/2028","R21","NIH","NIGMS","None","PAR-25-202","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-202.html"
"Focused Technology Research and Development (R01 Clinical Trial Not Allowed)","11/14/2024","1/8/2028","R01","NIH","NIGMS","None","PAR-25-203","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-203.html"
"Exploratory/Developmental Research on Guillain Barre Syndrome (GBS) and Chronic Inflammatory Demyelinating Polyneuropathy (CIDP) (R21 - Clinical Trial Not Allowed)","11/13/2024","10/4/2025","R21","NIH","NINDS","OD","RFA-NS-25-025","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-NS-25-025.html"
"Digital Health Technology Derived Biomarkers and Outcome Assessments for Remote Monitoring and Endpoint Development (UG3/UH3 - Clinical Trial Optional)","11/13/2024","6/23/2026","UG3/UH3","NIH","NINDS","NCI, OBSSR","PAR-25-170","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-170.html"
"National Cancer Institute's Investigator-Initiated Early Phase Clinical Trials for Cancer Treatment and Diagnosis (R01 Clinical Trial Required)","11/12/2024","1/8/2027","R01","NIH","NCI","None","PAR-25-081","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-081.html"
"Cancer Prevention and Control Clinical Trials Grant Program (R01 Clinical Trial Required)","11/12/2024","1/8/2027","R01","NIH","NCI","None","PAR-25-167","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-167.html"
"NeuroNEXT Small Business Innovation in Clinical Trials (U44 Clinical Trial Optional)","11/12/2024","9/6/2027","U44","NIH","NINDS","None","PAR-25-133","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-133.html"
"NIDCR Dentist Scientist Career Transition Award for Intramural Investigators (K22 Clinical Trial Not Allowed)","11/8/2024","1/8/2028","K22","NIH","NIDCR","None","PAR-25-027","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-027.html"
"Exploratory Grants in Cancer Control (R21 Clinical Trial Optional)","11/8/2024","9/8/2028","R21","NIH","NCI","None","PA-25-253","PA","Optional","https://grants.nih.gov/grants/guide/pa-files/PA-25-253.html"
"NIH SIREN Neurologic Clinical Trials (UG3/UH3 - Clinical Trial Required)","11/7/2024","3/7/2026","UG3/UH3","NIH","NINDS","None","PAR-25-049","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-049.html"
"NINDS Ruth L. Kirschstein National Research Service Award (NRSA) for Training of Postdoctoral Fellows (F32 Clinical Trial Not Allowed)","11/7/2024","1/8/2028","F32","NIH","NINDS","None","PAR-25-234","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-234.html"
"Laboratories to Optimize Digital Health (R01 Clinical Trial Required)","11/7/2024","1/8/2028","R01","NIH","NIMH","None","PAR-25-136","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-136.html"
"Advanced-Stage Development and Utilization of Research Infrastructure for Interdisciplinary Aging Studies (R33 Clinical Trial Optional)","11/7/2024","12/3/2025","R33","NIH","NIA","ORWH","PAR-25-219","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-219.html"
"Research Infrastructure Development for Interdisciplinary Aging Studies (R61/R33 - Clinical Trial Optional)","11/7/2024","12/3/2025","R61/R33","NIH","NIA","ORWH","PAR-25-218","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-218.html"
"Modular R01s in Cancer Control and Population Sciences (R01 Clinical Trial Optional)","11/7/2024","1/8/2028","R01","NIH","NCI","None","PA-25-172","PA","Optional","https://grants.nih.gov/grants/guide/pa-files/PA-25-172.html"
"Innovative Research in Cancer Nanotechnology (IRCN; R01 Clinical Trial Not Allowed)","11/7/2024","5/5/2026","R01","NIH","NCI","None","PAR-25-106","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-106.html"
"Personal Health Informatics for Delivering Actionable Insights to Individuals (R01 Clinical Trial Optional)","11/7/2024","1/8/2027","R01","NIH","NLM","NIMH","PAR-25-235","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-235.html"
"Co-infection and Cancer (R21 Clinical Trial Not Allowed)","11/7/2024","1/8/2026","R21","NIH","NCI","None","PAR-25-083","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-083.html"
"Co-infection and Cancer (R01 Clinical Trial Not Allowed)","11/7/2024","1/8/2026","R01","NIH","NCI","None","PAR-25-082","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-082.html"
"Population Approaches to Reducing Alcohol-related Cancer Risk (R01 Clinical Trial Optional)","11/6/2024","1/8/2027","R01","NIH","NCI","NIAAA","PAR-25-221","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-221.html"
"Academic-Industrial Partnerships (AIP) to Translate and Validate In Vivo Imaging Systems (R01 Clinical Trial Optional)","11/6/2024","1/8/2027","R01","NIH","NCI","None","PAR-25-079","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-079.html"
"Assay Development and Screening for Discovery of Validated Chemical Hits for Brain Disorders (R01 Clinical Trial Not Allowed)","11/6/2024","5/8/2026","R01","NIH","NIMH","None","PAR-25-063","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-063.html"
"Bioengineering Partnerships with Industry (U01 Clinical Trial Optional)","11/6/2024","9/8/2027","U01","NIH","NIBIB","NCI, NEI, NIA","PAR-24-325","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-24-325.html"
"Engineering Next-Generation Human Nervous System Microphysiological Systems (R01 Clinical Trials Not Allowed)","11/6/2024","1/8/2026","R01","NIH","NIA","NEI, NIAAA, NIDCD, NIMH","PAR-25-198","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-198.html"
"Engineering Next-Generation Human Nervous System Microphysiological Systems (R21 Clinical Trials Not Allowed)","11/6/2024","1/8/2026","R21","NIH","NIA","NEI, NIAAA, NIDCD, NIMH","PAR-25-199","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-199.html"
"Stimulating Hematology Investigation: New Endeavors (SHINE) (R01 Clinical Trial Not Allowed)","11/6/2024","1/7/2028","R01","NIH","NIDDK","NHLBI, NIA","PAS-25-205","PAS","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAS-25-205.html"
"Development and Application of PET and SPECT Imaging Ligands as Biomarkers for Drug Discovery and for Pathophysiological Studies of CNS Disorders (R01 Clinical Trial Optional)","11/6/2024","5/8/2026","R01","NIH","NIMH","NIA","PAR-25-036","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-036.html"
"Advancing Research to Understand Congenital Malformations (R01 Clinical Trial Not Allowed)","11/6/2024","9/8/2025","R01","NIH","NICHD","None","PAR-25-146","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-146.html"
"In-Depth Phenotyping and Research Using IMPC-Generated Knockout Mouse Strains Exhibiting Embryonic or Perinatal Lethality or Subviability (R01 Clinical Trial Not Allowed)","11/6/2024","1/8/2026","R01","NIH","NICHD","NIDCR, ORWH","PAR-25-140","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-140.html"
"Natural History of Disorders Screenable in the Newborn Period (R01 Clinical Trial Optional)","11/6/2024","1/8/2028","R01","NIH","NICHD","None","PAR-25-227","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-227.html"
"Assay development and screening for discovery of chemical probes, drugs or immunomodulators (R01 Clinical Trial Not Allowed)","11/6/2024","9/8/2026","R01","NIH","NCI","None","PAR-25-153","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-153.html"
"Clinical Characterization of Cancer Therapy-induced Adverse Sequelae and Mechanism-based Interventional Strategies (R01 Clinical Trial Optional)","11/6/2024","1/8/2028","R01","NIH","NCI","None","PAR-25-145","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-145.html"
"Research Projects to Enhance Applicability of Mammalian Models for Translational Research (R01 Clinical Trial Not Allowed)","11/6/2024","9/8/2026","R01","NIH","NCI","None","PAR-24-306","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-24-306.html"
"Integration of Imaging and Fluid-Based Tumor Monitoring in Cancer Therapy (R01 Clinical Trial Optional)","11/6/2024","1/8/2028","R01","NIH","NCI","None","PAR-25-175","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-175.html"
"Molecular Imaging of Inflammation in Cancer (R01 Clinical Trial Not Allowed)","11/6/2024","1/8/2028","R01","NIH","NCI","None","PAR-24-311","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-24-311.html"
"NIA Multi-site Clinical Trial Implementation Grant (R01 Clinical Trial Required)","11/6/2024","1/8/2026","R01","NIH","NIA","None","PAR-25-222","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-222.html"
"NIA Academic Leadership Career Award (K07 Independent Clinical Trial Not Allowed)","11/6/2024","11/13/2027","K07","NIH","NIA","None","PAR-24-321","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-24-321.html"
"BRAIN Initiative: Clinical Studies to Advance Next-Generation Devices for Recording and Modulation in the Human Central Nervous System (UH3 Clinical Trial Optional)","11/5/2024","9/29/2026","UH3","NIH","NINDS","NCCIH, NEI, NIA, NIAAA, NIBIB, NICHD, NIDA, NIDCD, NIMH","RFA-NS-25-022","RFA","Optional","https://grants.nih.gov/grants/guide/rfa-files/RFA-NS-25-022.html"
"BRAIN Initiative:  Next-Generation Devices for Recording and Modulation in the Human Central Nervous System (UG3/UH3 Clinical Trial Optional)","11/5/2024","9/29/2026","UG3/UH3","NIH","NINDS","NIAAA, NIBIB, NICHD, NIDA, NIDCD, NIMH, NCCIH, NEI, NIA","RFA-NS-25-021","RFA","Optional","https://grants.nih.gov/grants/guide/rfa-files/RFA-NS-25-021.html"
"Cancer Prevention and Control Clinical Trials Planning Grant Program (R34 Clinical Trials Optional)","11/5/2024","10/26/2027","R34","NIH","NCI","None","PAR-25-104","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-104.html"
"Cancer Prevention and Control Clinical Trials Planning Grant Program (U34 Clinical Trials Optional)","11/5/2024","10/26/2027","U34","NIH","NCI","None","PAR-25-103","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-103.html"
"Innovation Grants to Nurture Initial Translational Efforts (IGNITE): Neurotherapeutic Agent Characterization and In vivo Efficacy Studies (R61/R33 Clinical Trial Not Allowed)","11/4/2024","10/21/2027","R61/R33","NIH","NINDS","None","PAR-25-225","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-225.html"
"NCI Clinical and Translational Exploratory/Developmental Studies (R21 Clinical Trial Optional)","11/4/2024","9/8/2025","R21","NIH","NCI","None","PAR-25-139","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-139.html"
"CCRP Initiative: NIH Countermeasures Against Chemical Threats (CounterACT) Basic Research on Chemical Threats that Affect the Nervous System (R01 Clinical Trial Not Allowed)","11/1/2024","10/17/2026","R01","NIH","NINDS","NIAID","PAR-25-077","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-077.html"
"NINDS Sustainable Transformation of Institutional Research Rigor (STIRR) Program (RC2 - Clinical Trial Not Allowed)","10/31/2024","10/18/2025","RC2","NIH","NINDS","None","RFA-NS-25-019","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-NS-25-019.html"
"Enhancing Mechanistic Research on Precision Probiotic Therapies (R33 Clinical Trial Optional)","10/31/2024","6/3/2027","R33","NIH","NCCIH","NCI, NIA, NIDCR, ORWH","PAR-25-210","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-210.html"
"Enhancing Mechanistic Research on Precision Probiotic Therapies (R61/R33 Clinical Trial Optional)","10/31/2024","6/3/2027","R61/R33","NIH","NCCIH","NCI, NIA, NIDCR, ORWH","PAR-25-211","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-211.html"
"Effectiveness Trials for Post-Acute Interventions and Services to Optimize Longer-term Outcomes (R01 Clinical Trial Required)","10/31/2024","1/8/2028","R01","NIH","NIMH","None","PAR-25-207","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-207.html"
"Pilot Effectiveness Trials for Post-Acute Interventions and Services to Optimize Longer-term Outcomes (R01 Clinical Trial Required)","10/31/2024","1/8/2028","R01","NIH","NIMH","None","PAR-25-206","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-206.html"
"Dissemination and Implementation Research in Health (R21 Clinical Trial Optional)","10/31/2024","1/8/2028","R21","NIH","NCI","FIC, NCCIH, NHGRI, NIA, NIAAA, NIAID, NIAMS, NICHD, NIDA, NIDCD, NIDCR, NIEHS, NIMH, NIMHD, NINDS, NINR, OBSSR, ODP","PAR-25-143","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-143.html"
"Bidirectional Influences Between Adolescent Social Media Use and Mental Health (R21 Clinical Trial Optional)","10/30/2024","10/21/2025","R21","NIH","NIMH","None","RFA-MH-25-206","RFA","Optional","https://grants.nih.gov/grants/guide/rfa-files/RFA-MH-25-206.html"
"Bidirectional Influences Between Adolescent Social Media Use and Mental Health (R01 Clinical Trial Optional)","10/30/2024","10/21/2025","R01","NIH","NIMH","None","RFA-MH-25-205","RFA","Optional","https://grants.nih.gov/grants/guide/rfa-files/RFA-MH-25-205.html"
"Mechanistic links between diet, lipid metabolism, and tumor growth and progression (U01 Clinical Trial Not Allowed)","10/30/2024","10/24/2025","U01","NIH","NCI","None","PAR-25-119","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-119.html"
"Screening and Functional Validation of Genomic Variants Associated with Human Congenital Anomalies (R01 Clinical Trial Not Allowed)","10/30/2024","1/8/2028","R01","NIH","NICHD","NIDCR, ORIP","PAR-25-185","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-185.html"
"Natural Product Multi-Site Clinical Trial Data Coordinating Center (Collaborative U24 Clinical Trial Required)","10/30/2024","7/15/2026","U24","NIH","NCCIH","None","PAR-24-313","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-24-313.html"
"Dissemination and Implementation Research in Health (R03 Clinical Trial Not Allowed)","10/30/2024","1/8/2028","R03","NIH","NCI","NIDA, NIDCR, NIEHS, NIMH, NINDS, OBSSR, ODP, NICHD, FIC, NHGRI, NIA, NIAAA","PAR-25-233","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-233.html"
"Mechanistic links between diet, lipid metabolism, and tumor growth and progression (UH2 Clinical Trial Not Allowed)","10/30/2024","10/24/2025","UH2","NIH","NCI","None","PAR-25-118","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-118.html"
"Biomedical Research Environment and Sponsored Programs Administration Development (BRE-SPAD) Program (UC2- Clinical Trial Not Allowed)","10/30/2024","1/28/2027","UC2","NIH","NIGMS","NCCIH, NEI, NIA, NIAAA, NIAMS, NIDA, NIDCR, NIMH, NINDS, ODSS","PAR-24-268","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-24-268.html"
"Clinical Coordinating Center for NCCIH Multi-Site Investigator-Initiated Clinical Trials of Natural Products (Collaborative UG3/UH3 Clinical Trial Required)","10/29/2024","7/15/2026","UG3/UH3","NIH","NCCIH","None","PAR-24-312","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-24-312.html"
"Translational Neural Devices (R61/R33 - Clinical Trial Optional)","10/29/2024","1/29/2027","R61/R33","NIH","NINDS","None","PAR-25-053","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-053.html"
"Dissemination and Implementation Research in Health (R01 Clinical Trial Optional)","10/29/2024","1/8/2028","R01","NIH","NCI","NCCIH, NEI, NHGRI, NHLBI, NIA, NIAAA, NIAID, NIAMS, NICHD, NIDA, NIDCD, NIDCR, NIDDK, NIEHS, NIMH, NIMHD, NINDS, NINR, OBSSR, ODP, THRO","PAR-25-144","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-144.html"
"Computational Approaches to Curation at Scale for Biomedical Research Assets (R01 Clinical Trial Not Allowed)","10/29/2024","4/16/2027","R01","NIH","NLM","None","PAR-25-131","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-131.html"
